x,y,Umag,Vorticity_z
-1.424999952,-6.675000191,1.047485022,-0.0007768399082
-1.350000024,-6.675000191,1.048416569,-0.0007683416479
-1.274999976,-6.675000191,1.049339401,-0.0007601238322
-1.200000048,-6.675000191,1.05026191,-0.0007521317457
-1.125,-6.675000191,1.051181919,-0.0007443805225
-1.049999952,-6.675000191,1.052085293,-0.0007369286614
-0.9750000238,-6.675000191,1.052981037,-0.0007297600969
-0.8999999762,-6.675000191,1.053871202,-0.000722816796
-0.8249999881,-6.675000191,1.05474352,-0.0007162328111
-0.75,-6.675000191,1.055602725,-0.0007100528455
-0.6750000119,-6.675000191,1.056453679,-0.000704087317
-0.6000000238,-6.675000191,1.057283937,-0.0006981826155
-0.5249999762,-6.675000191,1.058098178,-0.0006935584825
-0.4499999881,-6.675000191,1.05890389,-0.0006890136865
-0.375,-6.675000191,1.059688376,-0.0006811257335
-0.3000000119,-6.675000191,1.060454749,-0.0006811299827
-0.224999994,-6.675000191,1.061207359,-0.0006842962466
-0.150000006,-6.675000191,1.061929421,-0.00066549849
-0.07500000298,-6.675000191,1.062631179,-0.0006537598674
0,-6.675000191,1.063314695,-0.0006480669836
0.07500000298,-6.675000191,1.063972107,-0.0006644976093
0.150000006,-6.675000191,1.064607103,-0.0006687744171
0.224999994,-6.675000191,1.065214833,-0.0006588170072
0.3000000119,-6.675000191,1.065784918,-0.0006562698982
0.375,-6.675000191,1.066334534,-0.0006547216326
0.4499999881,-6.675000191,1.066857222,-0.0006537537556
0.5249999762,-6.675000191,1.067349236,-0.0006532545667
0.6000000238,-6.675000191,1.067822326,-0.000653036579
0.6750000119,-6.675000191,1.068265098,-0.0006532589905
0.75,-6.675000191,1.068670794,-0.0006538430462
0.8249999881,-6.675000191,1.06905077,-0.0006546504446
0.8999999762,-6.675000191,1.069397493,-0.000655753247
0.9750000238,-6.675000191,1.069703788,-0.0006573544233
1.049999952,-6.675000191,1.069980622,-0.0006592452992
1.125,-6.675000191,1.070223124,-0.000661436643
1.200000048,-6.675000191,1.070418723,-0.0006639713538
1.274999976,-6.675000191,1.070580374,-0.0006667354028
1.350000024,-6.675000191,1.070713958,-0.0006697865319
1.424999952,-6.675000191,1.070832891,-0.0006734392955
1.5,-6.675000191,1.070913996,-0.000676425756
1.575000048,-6.675000191,1.070958589,-0.0006806142628
1.649999976,-6.675000191,1.070964187,-0.0006877863198
1.725000024,-6.675000191,1.070914236,-0.0006823802833
1.799999952,-6.675000191,1.070824831,-0.0007051743451
1.875,-6.675000191,1.070738637,-0.0006855846732
1.950000048,-6.675000191,1.070609407,-0.0005905418075
2.025000095,-6.675000191,1.070436467,-0.0005384379183
2.099999905,-6.675000191,1.070124271,-0.0006416786928
2.174999952,-6.675000191,1.070012,-0.0006907481584
2.25,-6.675000191,1.069859819,-0.0007096756017
2.325000048,-6.675000191,1.069506056,-0.0007971284795
2.400000095,-6.675000191,1.069114153,-0.003006344661
2.474999905,-6.675000191,1.068856806,-0.005177821498
2.549999952,-6.675000191,1.068118426,-0.005974215455
2.625,-6.675000191,1.06790189,-0.003976954147
2.700000048,-6.675000191,1.067490354,-0.002014078433
2.775000095,-6.675000191,1.067021697,-0.0007881869678
2.849999905,-6.675000191,1.066526113,-0.0007997415378
2.924999952,-6.675000191,1.06599841,-0.0008112355135
3,-6.675000191,1.065454284,-0.0008227559156
3.075000048,-6.675000191,1.064889999,-0.0008343312657
3.150000095,-6.675000191,1.064299478,-0.0008462056285
3.224999905,-6.675000191,1.063696087,-0.0008582404698
3.299999952,-6.675000191,1.063072119,-0.0008705448126
3.375,-6.675000191,1.062430616,-0.0008830594597
3.450000048,-6.675000191,1.061779747,-0.0008956867969
3.525000095,-6.675000191,1.061108628,-0.0009085608763
3.599999905,-6.675000191,1.060430173,-0.0009215275641
3.674999952,-6.675000191,1.059741498,-0.0009346231236
3.75,-6.675000191,1.059043067,-0.0009477988351
3.825000048,-6.675000191,1.058340943,-0.0009610042325
3.900000095,-6.675000191,1.057630692,-0.0009742512484
3.974999905,-6.675000191,1.056919577,-0.0009875085671
4.050000191,-6.675000191,1.056206253,-0.001000792487
4.125,-6.675000191,1.055494247,-0.001014057081
4.199999809,-6.675000191,1.054783516,-0.001027302933
4.275000095,-6.675000191,1.054078832,-0.00104045833
4.349999905,-6.675000191,1.053376748,-0.001053574844
