Points:0,Points:1,Points:2,U:0,U:1,U:2,Umag,Vorticity:0,Vorticity:1,Vorticity:2,Q,Qstar
0.2905061841,-1.030011296,0,0.1085481942,0.009998070076,-2.510677888e-09,0.1090076688,2.266962262e-08,1.294790142e-08,2.077236176,0.01208406873,0.04833627492
0.2498409599,-1.040596724,0,0.1323889792,0.009526819922,-2.25080532e-09,0.1327313155,2.014038536e-08,1.086221602e-08,2.418025732,0.06034947559,0.2413979024
0.2087900192,-1.04957056,0,0.1579496264,0.007632186636,-2.006556254e-09,0.158133914,1.739734401e-08,9.132663514e-09,2.772952318,0.1263429374,0.5053717494
0.1674172133,-1.056918859,0,0.1849656701,0.004126080312,-1.773688418e-09,0.1850116852,1.471767952e-08,7.739434871e-09,3.138099432,0.2120432407,0.8481729627
0.1257869005,-1.062629938,0,0.2131201476,-0.001151498873,-1.548434492e-09,0.2131232584,1.224029589e-08,6.648668283e-09,3.509177685,0.3188011944,1.275204778
0.08396386355,-1.066695094,0,0.2420420349,-0.008323915303,-1.328433252e-09,0.2421851238,9.822500147e-09,5.817606841e-09,3.881635666,0.4477272928,1.790909171
0.04201313853,-1.069108129,0,0.2712832987,-0.01748096757,-1.113050874e-09,0.271845935,7.474573849e-09,5.203136144e-09,4.251803398,0.5990624428,2.396249771
-1.551315035e-17,-1.069864988,0,0.3006003201,-0.02869526297,-9.031352888e-10,0.3019668369,5.206473475e-09,4.784458163e-09,4.614053726,0.7699735761,3.079894304
0.7818763852,-0.7818763852,0,-0.02703582868,-0.03035505116,-9.293462e-09,0.04064929475,4.548783039e-08,4.962979006e-08,-0.1633006781,-0.005470961798,-0.02188384719
0.7506387234,-0.8120536804,0,-0.02437427826,-0.02743688226,-9.018014779e-09,0.03669997205,4.399825571e-08,4.974818069e-08,-0.07086265087,-0.01214811951,-0.04859247804
0.7182330489,-0.8409733772,0,-0.02018564567,-0.02436368354,-8.659498008e-09,0.03163936419,4.201769954e-08,4.813470866e-08,0.03506813571,-0.01943253353,-0.07773013413
0.6847100258,-0.8685901761,0,-0.01417292655,-0.02101057023,-8.226295201e-09,0.0253439521,3.986968622e-08,4.496483896e-08,0.1566488594,-0.02788464911,-0.1115385965
0.6501219273,-0.8948610425,0,-0.006069382653,-0.0173217766,-7.735073027e-09,0.01835432784,3.742765387e-08,4.146164656e-08,0.2961972356,-0.03788080812,-0.1515232325
0.6145228148,-0.9197449088,0,0.004366042092,-0.01331461128,-7.204772778e-09,0.01401218031,3.423553352e-08,3.767326007e-08,0.4558337629,-0.04933824763,-0.1973529905
0.5779682994,-0.9432029128,0,0.01734447293,-0.009081306867,-6.653896101e-09,0.01957807129,3.098369916e-08,3.380434066e-08,0.637217164,-0.06152251735,-0.2460900694
0.5405154824,-0.9651983976,0,0.03304276615,-0.004781250376,-6.099272643e-09,0.03338689489,2.826566359e-08,3.012556604e-08,0.8413667679,-0.07300387323,-0.2920154929
0.502222836,-0.9856969714,0,0.0515967384,-0.0006284123519,-5.554702476e-09,0.05160056507,2.581939462e-08,2.659936271e-08,1.068520546,-0.08172614872,-0.3269045949
0.4631501436,-1.004666567,0,0.07309226692,0.003123184666,-5.030467598e-09,0.07315896231,2.336112104e-08,2.323215043e-08,1.318049431,-0.0851399228,-0.3405596912
0.4233585,-1.022077799,0,0.09755465388,0.006193674635,-4.533576625e-09,0.09775107212,2.125765697e-08,1.083266987e-08,1.588435173,-0.08035393059,-0.3214157224
0.3829100132,-1.03790319,0,0.1249379069,0.008290299214,-4.068074766e-09,0.1252126576,1.891753065e-08,-1.25790045e-09,1.877305508,-0.06428227574,-0.2571291029
0.3418678641,-1.052118063,0,0.1551162153,0.009118922986,-3.635356238e-09,0.1553840243,1.571339325e-08,5.603431052e-09,2.181522131,-0.03378435969,-0.1351374388
0.3002961576,-1.064700365,0,0.1878787577,0.008394387551,-3.234413404e-09,0.188066194,1.319552645e-08,1.280137862e-08,2.497307301,0.01418044418,0.05672177672
0.2582598627,-1.075630426,0,0.2229288667,0.00585044641,-2.86219648e-09,0.2230056218,1.13542491e-08,1.102945912e-08,2.820394039,0.08236500621,0.3294600248
0.2158246189,-1.084890962,0,0.2598878443,0.001249345485,-2.514148445e-09,0.2598908473,9.022052438e-09,9.598371875e-09,3.146199703,0.1730028093,0.6920112371
0.1730566919,-1.092467785,0,0.2983049154,-0.005608730484,-2.185049697e-09,0.2983576385,6.782816087e-09,8.488406422e-09,3.470004797,0.2874981761,1.149992704
0.1300229132,-1.098348975,0,0.337672025,-0.01487562992,-1.870157362e-09,0.3379995278,4.930136743e-09,7.660383439e-09,3.787080765,0.4262520075,1.70500803
0.08679047972,-1.102525234,0,0.3774245083,-0.02664777637,-1.566087926e-09,0.3783640621,3.1720786e-09,7.062067819e-09,4.092943192,0.5893771648,2.357508659
